Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Age,Education_Group,Total_Children,Total_Campaign_Accepted,Customer_Tenure_Days,Total_Purchases,Total_Spending,Spending_Per_Purchase
Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,1,69,Graduate,0,0,663,25,1617,62.19230769230769
Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,72,Graduate,2,0,113,6,27,3.857142857142857
Partnered,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,61,Graduate,0,0,312,21,776,35.27272727272727
Partnered,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,42,Graduate,1,0,139,8,53,5.888888888888889
Partnered,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,45,Postgraduate,1,0,161,19,422,21.1
Partnered,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,59,Postgraduate,1,0,293,22,716,31.130434782608695
Divorced,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,55,Graduate,1,0,593,21,590,26.818181818181817
Partnered,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,41,Postgraduate,1,0,417,10,169,15.363636363636363
Partnered,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,1,52,Postgraduate,1,0,388,6,46,6.571428571428571
Partnered,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,76,Postgraduate,2,1,108,2,49,16.333333333333332
Partnered,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,50,Undergraduate,0,0,593,6,61,8.714285714285714
Divorced,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,67,Graduate,0,0,226,16,1102,64.82352941176471
Divorced,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,74,Postgraduate,2,0,226,15,310,19.375
Partnered,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,39,Graduate,0,0,627,5,46,7.666666666666667
Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,1,80,Postgraduate,0,2,582,26,1315,48.7037037037037
Partnered,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,46,Graduate,2,0,552,9,96,9.6
Partnered,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,80,Graduate,0,0,667,13,317,22.642857142857142
Partnered,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,77,Postgraduate,1,1,458,26,1782,66.0
Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,41,Undergraduate,1,0,603,8,133,14.777777777777779
Partnered,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,44,Graduate,0,0,690,12,316,24.307692307692307
Partnered,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,47,Graduate,1,0,539,43,1730,39.31818181818182
Partnered,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,77,Postgraduate,1,1,553,17,972,54.0
